Id,Rooms,SqrMeters,Floor,Location,Description
1,4,73.6,8,Poznań Piątkowo ul. Os. B. Chrobrego,Rozkładowe przestronne mieszkanie na ósmym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Piatkowo. Cztery pokoje okna wychodzące na północ wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - glazura gładź gipsowa ...
2,1,35,7,Poznań,Szanowni Państwo Jako właściciel Biura Nieruchomości EURO-dom.CO oferuję Państwu profesjonalne i skuteczne usługi pośrednictwa w obrocie nieruchomościami. Nasz zespół to Pośrednicy Prawnik Biegły Rewident Podatkowy Agent Ubezpieczeniowy. Mamy...
3,4,70,1,Poznań Smochowice ul. Olecka,MIESZKANIE O POW.70m2+GRATIS GARAZ NA DWA SAMOCHODY LUB MIEJSCE PARKINGOWE Z OGRODKIEM MIESZKANIA BEZCZYNSZOWE Z OGRODKIEM I GARAZAMI 4 POKOJE POZNAN SMOCHOWICE UL.OLECKA MIESZKANIE O POWIERZCHNI UZYTKOWEJ 70 METROW MIESCI SIE NA PARTERZE...
4,4,71,2,Poznań Stare Miasto Piątkowo ul. Bolesława Śmiałego - Niski Budynek,Zapraszam do zapoznania się z ofertą sprzedaży przestronnego mieszkania położonego na os. Bolesława Śmiałego w Poznaniu. Atrakcyjna lokalizacja zapewnia szybką i wygodną komunikację z centrum miasta niski budynek wykonany z cegły położony wśród...
5,2,38.1,5,Poznań Winogrady ul. Os. Kosmonautów,Oferta nr 15/MN/36 Dla studentów par singli! Dla każdego! DOBRA CENA! 2 pokoje w układzie niezależnym osiedle Kosmonautów na V piętrze. Pełne umeblowanie może pozostać w cenie! Szybkie przejęcie. Zapraszam do zapoznania się z atrakcyjną...
6,3,79,1,Poznań Grunwald ul. Iłłakowiczówny,Rozkładowe ciche mieszkanie na pierwszym piętrze w domu wielorodzinnym w Poznaniu w dzielnicy Grunwald. Trzy pokoje okna wychodzące na wschód zachód; widok na podwórko. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - deska...
7,3,87,2,Poznań Jeżyce ul. Kościelna,Polecam na sprzedaż mieszkanie położone przy ulicy Kościelnej w Poznaniu. Ulokowane na drugim piętrze w trzypiętrowej przedwojennej kamienicy. Budynek w 2008 roku przeszedł gruntowną rewitalizacje. Został wymieniony dach a także odświeżono...
8,4,78,1,Poznań Łazarz ul. Bogusławskiego Sczanieckiej Przy Arenie,Gorąco zachęcam do zapoznania się z ofertą sprzedaży 4 pokojowego ustawnego rozkładowego odnowionego mieszkania usytuowanego na parterze bloku z lat 60tych w wyśmienitej pod każdym względem (zarówno do życia jak i pod inwestycję) lokalizacji –...
9,2,46.03,3,Poznań Winogrady ul. Hawelańska,0% prowizji od Kupującego! Polecam na sprzedaż mieszkania na nowym osiedlu w Poznaniu. Inwestycja to połączenie ciekawej architektury z funkcjonalnym i przestrzennym wnętrzem. Mieszkania od 25m2 do 126m2 z ogródkami lub balkonami/tarasami....
10,2,47,13,Poznań Winogrady ul. Os.Zwycięstwa,Mieszkanie pięć lat po remoncie kapitalnym. Wysoka jakość materiałów i znakomicie dobrana kolorystyka. Spółdzielczo - własnościowe; czynsz 523zł. Jasna kuchnia z meblami-płytki pokoje niezależne 22m i 11m-panele wc i łazienka [kabina z...
11,3,59.42,1,Poznań ul. Karpia 25,Nieruchomości Mieszkania Nieruchomości Mieszkania
12,1,31,5,Poznań Rataje Nowe Miasto Centrum ul. Lecha Os.,UWAGA- PROSZĘ O KONTAKT TYLKO KLIENTÓW GOTÓWKOWYCH!!! Polecam na sprzedaż kawalerkę zlokalizowaną na Poznańskich Ratajach - os. Lecha. Zlokalizowane na 5 piętrze bloku z windą. Układ mieszkania niezależny powierzchnia 31 3m2 z przynależną...
13,1,33,4,Poznań Grunwald ul. Junacka,Grunwald ul.Junacka zamknięte osiedle duża dwupokojowa kawalerka w niskim bloku z cegły 33.10 m2 IV piętro drzwi balkonowe piwnica po generalnym remoncie otwarta kuchnia wydzielona sypialnia meble i wyposażenie w opcji...
14,2,38.43,2,Poznań Dębiec Wilda ul. Klonowa,ARKEI Nieruchomości poleca na sprzedaż 2-pokojowe mieszkanie usytuowane na drugim piętrze w 2 piętrowym budynku na poznańskim Dębcu. Lokal o powierzchni 38 43 m2 składa się z pokoju z aneksem kuchennym drugiego pokoju oraz łazienki z WC. Do...
15,2,38,9,Poznań Górczyn ul. Arciszewskiego,Polecam na sprzedaż mieszkanie o pow.38m2 w budynku na ul. Arciszewskiego w Poznaniu zlokalizowane na IX piętrze zadbanego nowoocieplonego bloku mieszkalnego z windami. Mieszkanie jest dwupokojowe: duży pokój - 16m2 mniejszy pokój - 11m2 z...
16,2,59.2,6,Poznań Nowe Miasto Rataje ul. Szczytnicka Piastowskie Pelikan,Na sprzedaż NOWOCZESNY I FUNKCJONALNY apartament położony w Poznaniu - Rataje ul. Szczytnicka. Lokal o powierzchni 59 2 mkw na 6 pietrze w nowoczesnym apartamentowcu PELIKAN. ROZKŁAD POMIESZCZEŃ: pokój z aneksem kuchennym (28 7 mkw) sypialnia...
17,2,42,6,Poznań Grunwald ul. Newtona,2-pokojowe rozkładowe (do każdego pokoju wchodzi się z korytarza brak pokoi przechodnich) przestronne jasne i funkcjonalne mieszkanie na 6 piętrze - okna skierowane na południe i zachód. Kuchnia w pełnej zabudowie (zmywarka lodowka ...
18,3,115,8,Poznań Rataje Zodiak Malta ul. Bliźniąt Zodiak Lwa,Oferta zwolniona z prowizji od Kupującego! Na sprzedaż mieszkanie z antresolą w apartamentowcu zlokalizowanym na os. Zodiak. Mieszkanie wykończone pod klucz w bardzo wysokim standardzie. Apartament zlokalizowany na ostatniej kondygnacji. W...
19,2,35,1,Poznań Wilda,NIESPOTYKANA OFERTA DLA PRZEDSIĘBIORCZEJ OSOBY! MIESZKANIE 35 M2 + NIEZALEŻNE POMIESZCZENIE 16 M2 Z WEJŚCIEM OD ULICY. Polecam do sprzedaży: 1. mieszkanie o pow. 35 m2. - przedpokój 1 5 m2 - pokój 6 m2 - łazienka z WC 4 7 m2 - sypialnia 6...
