Id,Expected,Rooms,SqrMeters,Floor,Location,Description
1,269000,3,55,1,Poznań Zawady,Przedmiotem sprzedaży jest mieszkanie położone w dzielnicy Nowe Miasto w Poznaniu przy ul. Krótkiej. Dla przedmiotowej nieruchomości Sąd Rejonowy w Poznaniu prowadzi Księgę Wieczystą która nie wykazuję żadnych obciążeń. Mieszkanie położone jest...
2,320000,3,79,10,Poznań Rataje ul. Orła Bialego,Na sprzedaż duże słoneczne mieszkanie 3-pokojowe na 10 piętrze na os. Orła Białego ( Rataje) Nieruchomość złożona z: pokój 22 m.kw pokój 18 m.kw pokój 12 m.kw kuchnia oddzielna 8 m.kw łazienka 3 m.kw WC 1 5 m.kw korytarz 13 5 m.kw....
3,146000,1,31.21,1,Poznań Nowe Miasto ul. Kawalerka W Nowym Bloku Tuż Przy Lesie,Gorąco zachęcam do zapoznania się z ofertą sprzedaży ustawnej urządzonej dużej kawalerki z loggią na parterze niskiego 2 piętrowego budynku z 2011 r. – Nowe Miasto ul. Sypniewo. Teren ogrodzony z bramą wjazdową na pilota miejsce parkingowe...
4,189000,2,44,2,Poznań Grunwald Ogrody Jeżyce Centrum Łazarz ul. Bułgarska - Dobra Cena!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! GWARANCJA PEWNEGO ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Grunwaldzie ( ul. Bułgarska ). Na 44 m2 składają się dwa ustawne pokoje ( w tym...
5,480240,2,65.25,1,Poznań ul. Droga Dębińska 19,Nieruchomości Mieszkania Nieruchomości Mieszkania
6,485500,2,56,1,Poznań Winogrady ul. Winogrady,BT - BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM POŚREDNIKIEM!! POZNAŃ - WINOGRADY Dwupokojowe mieszkanie o powierzchni 56 m2 znajdujące się na parterze w budynku trzykondygnacyjnym z 2004 roku. Wysoki standard wykończenia. Pokój dzienny o...
7,299000,2,26.8,1,Poznań Wilda ul. Różana,KUPUJĄCY NIE PŁACI 2% PODATKU PCC! MIESZKANIE PO GENERALNYM REMONCIE! GOTOWE DO WPROWADZENIA! PRAKTYCZNIE SAMO CENTRUM! Na sprzedaż 2-pokojowe mieszkanie położone na 1 piętrze w kamienicy przy ul. Różanej (Wilda) o powierzchni 49 70m2. Kamienica...
8,380000,3,63.9,4,Poznań Piątkowo,MIESZKANIE PIĄTKOWO Polecam na sprzedaż mieszkanie o powierzchni 63 9 mkw w niskim bloku otoczonym zielenią z widokiem na Rezerwat Żurawiniec na czwartym piętrze. Mieszkanie składa się z jasnego i przestronnego pokoju dziennego o powierzchni...
9,340000,2,59,1,Poznań Stare Miasto ul. Naramowicka,Polecam do sprzedaży mieszkanie dwupokojowe o powierzchni 59 m2 usytuowane na 1 piętrze niskiego bloku przy ul. Naramowickiej. Mieszkanie jest zadbane pokoje niezależne składa się z 2 pokoi garderoby ( szafy Komandor ) dużej łazienki kuchni...
10,207076,2,43.1,2,Poznań Baranowo Baranowo ul. Szamotulska,KUPUJĄCY NIE PŁACI PROWIZJI. Na sprzedaż apartament 2-pokojowy na nowym osiedlu z 2011r. w Baranowie pod Poznaniem. Lokal znajduje się na 2 piętrze. Układ pomieszczeń: salon z aneksem kuchennym z oknem (21 91m2) z wyjściem na taras (8 77m2);...
11,259000,2,49,1,Poznań Rataje ul. Piastowskie,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Zapraszam do zapoznania sie z ofertą sprzedaży nowoczesnego i komfortowo urządzonego 2 pokojowego mieszkania zlokalizowanego na osiedlu Piastowskim (Rataje) w...
12,160000,1,29,1,Poznań Łazarz Grunwald Górczyn Centrum Ogrody ul. Łukaszewicza - Po Remoncie!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! GWARANCJA PEWNEGO ZAKUPU!!! Polecam do zakupu kawalerkę położoną na Łazarzu ( ul. Łukaszewicza ). Na 29 m2 składają się ustawny pokój osobna kuchnia z oknem ...
13,252000,3,48,1,Poznań ul. Ognik,CENA ZAWIERA PROWIZJĘ! LOKAL NA GWARANCJI! Na sprzedaż lokal mieszkalny położony w Poznaniu w dzielnicy Grunwald przy ul. Ognik z kilkunastominutowym dojazdem do centrum miasta środkami komunikacji miejskiej. Lokal usytuowany na wysokim parterze...
14,950000,5,161.3,1,Poznań Stare Miasto Centrum,DUŻE MIESZKANIE W PRESIŻOWEJ LOKALIZACJI -KAMIENICA ODNOWIONA -5 POKOI Główne atuty nieruchomości: • prestiżowa lokalizacja • po remoncie generalnym Nieruchomość złożona z: • pokój 28 m.kw • pokój 26 m.kw • pokój 27 5 m.kw • pokój 16 m.kw •...
